observation_index,A,B,M,N,value,dV,I,rel_err,K,fid,reciprocal_group,reciprocal_pair_count,reciprocal_error_percent,reciprocal_mean_value,reciprocal_partner_value
176,13,52,26,39,6.41492048,,,0.05,1.0,176,13-52|26-39,1,0.7436420569192419,6.391156815,6.36739315
177,13,55,27,41,6.04877266,,,0.05,1.0,177,13-55|27-41,1,0.10132970974767604,6.045709609999999,6.04264656
178,14,17,15,16,219.088933,,,0.05,1.0,178,14-17|15-16,1,0.0196886956167473,219.110503,219.132073
179,14,20,16,18,93.284138,,,0.05,1.0,179,14-20|16-18,1,0.07607562994667652,93.31963475,93.3551315
180,14,23,17,20,49.9268973,,,0.05,1.0,180,14-23|17-20,1,0.091790649612876,49.9039937,49.8810901
181,14,26,18,22,31.168284,,,0.05,1.0,181,14-26|18-22,1,0.14077599762722326,31.146360700000002,31.1244374
182,14,29,19,24,21.1014271,,,0.05,1.0,182,14-29|19-24,1,0.006206022733721716,21.1020819,21.1027367
183,14,32,20,26,16.463986,,,0.05,1.0,183,14-32|20-26,1,0.06031895306374078,16.46895295,16.4739199
184,14,35,21,28,13.4192321,,,0.05,1.0,184,14-35|21-28,1,0.1146345608070725,13.42692805,13.434624
185,14,38,22,30,10.0412505,,,0.05,1.0,185,14-38|22-30,1,0.032047956292861474,10.039641750000001,10.038033
186,14,41,23,32,8.38114379,,,0.05,1.0,186,14-41|23-32,1,0.20467513252044078,8.3725755,8.36400721
187,14,44,24,34,7.59673667,,,0.05,1.0,187,14-44|24-34,1,0.13910953806499005,7.591456450000001,7.58617623
188,14,47,25,36,6.56509746,,,0.05,1.0,188,14-47|25-36,1,0.08975713435344278,6.56215246,6.55920746
189,14,50,26,38,6.63725049,,,0.05,1.0,189,14-50|26-38,1,0.25157264772803356,6.628912225,6.62057396
190,14,53,27,40,6.19849935,,,0.05,1.0,190,14-53|27-40,1,0.6142127527089433,6.1795216449999995,6.16054394
191,14,56,28,42,5.85252225,,,0.05,1.0,191,14-56|28-42,1,0.3376106360248619,5.84265953,5.83279681
192,15,18,16,17,270.920732,,,0.05,1.0,192,15-18|16-17,1,0.1769968845596713,271.160705,271.400678
193,15,21,17,19,89.751664,,,0.05,1.0,193,15-21|17-19,1,0.019583838512011446,89.74287645000001,89.7340889
194,15,24,18,21,47.4924641,,,0.05,1.0,194,15-24|18-21,1,0.029866460141316525,47.485372999999996,47.4782819
195,15,27,19,23,28.0336903,,,0.05,1.0,195,15-27|19-23,1,0.03924334652111719,28.0281907,28.0226911
196,15,30,20,25,20.2879413,,,0.05,1.0,196,15-30|20-25,1,0.020424561882162504,20.285869650000002,20.283798
197,15,33,21,27,15.0817979,,,0.05,1.0,197,15-33|21-27,1,0.08684515075510404,15.08834965,15.0949014
198,15,36,22,29,11.9438869,,,0.05,1.0,198,15-36|22-29,1,0.057514141285509766,11.9473226,11.9507583
199,15,39,23,31,8.8019016,,,0.05,1.0,199,15-39|23-31,1,0.1832918906984465,8.793842399999999,8.7857832
200,15,42,24,33,7.96654771,,,0.05,1.0,200,15-42|24-33,1,0.3165659179779799,7.95395795,7.94136819
201,15,45,25,35,6.69939614,,,0.05,1.0,201,15-45|25-35,1,0.7570196699514326,6.72485036,6.75030458
202,15,48,26,37,6.77329054,,,0.05,1.0,202,15-48|26-37,1,0.20566325662787666,6.766332609999999,6.75937468
203,15,51,27,39,6.35995499,,,0.05,1.0,203,15-51|27-39,1,0.38628731681843004,6.34769482,6.33543465
204,15,54,28,41,5.98420569,,,0.05,1.0,204,15-54|28-41,1,0.4086523176877109,5.972003324999999,5.95980096
205,16,19,17,18,226.196914,,,0.05,1.0,205,16-19|17-18,1,0.0639191715172796,226.12464549999999,226.052377
206,16,22,18,20,94.6856794,,,0.05,1.0,206,16-22|18-20,1,0.09328885098887477,94.6415344,94.5973894
207,16,25,19,22,43.3554052,,,0.05,1.0,207,16-25|19-22,1,0.045458275136543,43.36526175,43.3751183
208,16,28,20,24,25.7564739,,,0.05,1.0,208,16-28|20-24,1,0.024879947091148477,25.7532702,25.7500665
209,16,31,21,26,19.7078286,,,0.05,1.0,209,16-31|21-26,1,0.03882068814853251,19.7116547,19.7154808
