x_m,y_m,total_field_anomaly_nT
24799.97,54097.44,-13.00
24547.81,58051.54,-3.00
24280.10,67335.20,44.00
24282.92,71045.77,52.00
24210.88,72531.34,82.00
24116.93,73815.64,21.00
24109.87,74147.00,-59.00
24095.74,74358.27,131.00
24076.67,74824.18,73.00
23987.67,76167.41,7.00
23948.11,76985.81,-12.00
23929.04,77710.80,47.00
23913.50,78022.14,207.00
23903.61,78360.18,347.00
24744.17,54918.06,-13.00
23986.26,75982.83,8.00
25460.41,46690.75,-15.00
25350.22,50708.22,-21.00
25261.22,55650.84,-13.00
24944.07,63183.18,26.00
24630.45,70774.46,53.00
24586.65,72197.75,52.00
24462.34,73773.39,31.00
24433.38,74321.58,-9.00
24432.67,74746.34,59.00
24483.53,75878.31,-12.00
24448.92,76324.20,-152.00
24418.54,76703.37,-142.00
24383.23,77256.01,-22.00
24372.63,77689.67,78.00
24368.39,77956.54,248.00
24359.21,78246.76,368.00
24338.73,78607.03,478.00
25268.99,55305.02,-10.00
24479.29,75560.29,39.00
25748.60,48134.06,-21.00
25562.12,52875.41,-13.00
25321.26,59936.29,7.00
25004.11,69322.25,63.00
24944.77,72141.04,53.00
24936.30,73522.09,12.00
24905.22,74294.89,31.00
24822.58,75417.96,-1.00
24796.44,75772.67,-101.00
24771.01,76373.12,-162.00
24753.35,76806.78,-162.00
24737.81,77190.41,-42.00
24734.99,77617.39,68.00
24737.11,77934.30,288.00
24744.17,78305.69,398.00
24763.95,78709.33,498.00
24792.20,79474.35,458.00
24788.67,79932.47,357.00
24773.84,80572.96,255.00
25145.38,65293.66,35.00
24807.74,75494.68,-21.00
26106.01,46606.24,-22.00
26022.67,52518.48,-18.00
25694.21,60215.39,7.00
25344.57,69417.88,64.00
25249.21,72789.31,62.00
25251.33,74052.49,61.00
25221.66,74516.17,21.00
25173.63,75688.16,-61.00
25154.56,76120.71,-121.00
25138.31,76515.45,-62.00
25133.37,76912.42,-178.00
25142.55,77208.20,-31.00
25143.97,77475.07,109.00
25136.90,77844.23,289.00
25122.07,78392.42,399.00
25105.82,78955.07,498.00
25093.81,79587.77,418.00
25086.04,80054.79,317.00
24961.73,81396.91,214.00
25248.50,74436.11,31.00
26503.69,47989.51,-19.00
26365.25,53180.09,-12.00
26276.25,59402.55,7.00
25877.16,67457.51,55.00
25730.24,71350.45,61.00
25738.71,72802.65,62.00
25738.01,73773.39,22.00
25645.47,74838.63,-19.00
25615.81,75210.02,-120.00
25656.07,75951.69,-91.00
25670.90,76227.46,9.00
25668.78,77019.17,9.00
25651.12,77501.75,249.00
25638.41,77756.39,369.00
25568.48,78599.25,429.00
25509.15,79443.22,408.00
25454.76,80122.62,307.00
26398.44,55405.10,-20.00
25632.76,75268.96,-130.00
25637.00,75973.93,-71.00
26984.01,47349.02,-24.00
26753.74,55104.87,-12.00
26344.76,66037.55,46.00
26190.78,71048.00,53.00
26110.25,72636.97,133.00
26079.17,73032.83,52.00
26029.73,73607.71,-8.00
26021.96,75046.57,-39.00
26013.48,75502.47,-140.00
26012.78,75840.50,-181.00
25999.36,76164.08,-7.00
25985.23,76681.13,-1.00
25967.57,77164.83,59.00
25973.22,77408.35,229.00
25971.10,77630.74,389.00
25968.98,78302.36,417.00
25921.66,79501.04,367.00
25879.98,80467.32,266.00
